Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
G04992-L1_S120_L007_R1_001_trimmed_cutadapt	78.45084774884631	30.0	96.86757023235941	18.181818181818183	12489186.0
G04993-L1_S121_L007_R1_001_trimmed_cutadapt	75.3643567151436	31.0	96.0378740147915	18.181818181818183	12759355.0
G04994-L1_S122_L007_R1_001_trimmed_cutadapt	74.25405534068227	30.0	96.47714312716855	18.181818181818183	11046568.0
G04995-L1_S123_L007_R1_001_trimmed_cutadapt	75.961241730776	32.0	96.43271450997601	18.181818181818183	12250992.0
G04996-L1_S124_L007_R1_001_trimmed_cutadapt	73.56792234577918	32.0	95.65016545066025	18.181818181818183	13226904.0
G04997-L1_S125_L007_R1_001_trimmed_cutadapt	74.18908267303406	33.0	96.48041194973864	18.181818181818183	11488586.0
G04998-L1_S126_L007_R1_001_trimmed_cutadapt	73.88553396966044	32.0	95.17340008068413	18.181818181818183	13866418.0
G04999-L1_S127_L008_R1_001_trimmed_cutadapt	68.6983396419005	32.0	94.68068162127071	18.181818181818183	9216203.0
G05000-L1_S128_L008_R1_001_trimmed_cutadapt	69.76597007805873	31.0	94.81382725528408	18.181818181818183	9304493.0
G05001-L1_S129_L008_R1_001_trimmed_cutadapt	72.21646831031981	32.0	94.65417332988399	18.181818181818183	12562750.0
G05002-L1_S130_L008_R1_001_trimmed_cutadapt	72.53688112921476	31.0	95.72068424502984	18.181818181818183	10182025.0
G05003-L1_S131_L008_R1_001_trimmed_cutadapt	71.37609009240364	30.0	95.86802618750966	18.181818181818183	8493973.0
G05004-L1_S132_L008_R1_001_trimmed_cutadapt	72.85877061050167	31.0	95.90685395539047	18.181818181818183	10927442.0
G05005-L1_S133_L008_R1_001_trimmed_cutadapt	73.22738094991988	30.0	96.39476120126086	18.181818181818183	10367873.0
G05006-L1_S134_L008_R1_001_trimmed_cutadapt	71.05139895781686	30.0	96.36717868032595	18.181818181818183	9548964.0
