SampleID,Sample_Name,NbrMethylatedCpG,MappingEfficiency%BSBoldvsGynogen,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,ID,Family,Generat,Tr,Sex,MReads,matchV48,Mapping,trtG1G2,outcome,No.Worms...11,Slfin,Tlfin,Wnettofin,Cfresfin,BC,BCgen,HK.W,SPL.W,L.W,GON.W,BK.W,No.Worms...23,integration[RLU],peak[RLU/sec],Tpeak[min],G/L_ratio
S32,G04904-L1_S32_L002_R1_001,21913844,85.725,74.8%,35%,8.6,74.2087087430906,34,94.394981071933,18.1818181818182,8502453,S32,Fam06,O,CT,M,8.5,V48_160,67.4,NE_exposed,infected,2,36,42,445,-61.282,1.16042,1.31865,2,0.4,7.6,1.4,1.5,2,1633256.5,250,95.11,0.53
S33,G04905-L1_S33_L002_R1_001,26489293,87.785,74.4%,34%,10.6,73.7886674490427,33,94.2799984832959,18.1818181818182,10470071,S33,Fam06,O,CT,M,10.5,V48_241,71.2,NE_exposed,infected,2,37,42,515,-37.635,1.03242,1.09342,2.3,0.5,10.5,0.4,1.9,2,360823.7,46,125.11,0.92
S34,G04906-L1_S34_L002_R1_001,22238948,85.749,74.6%,33%,9.6,74.0335849055945,32,94.7746319562672,18.1818181818182,9549069,S34,Fam06,O,CT,F,9.6,V48_279,70,NE_exposed,infected,3,39,45,564,-81.341,2.24281,2.23577,2,0.6,12.5,11.5,2.2000000000000002,3,1512728.6,237,50.11,0.46
S35,G04907-L1_S35_L002_R1_001,20269040,82.655,73.5%,34%,9.3,72.6514304007196,33,94.0902864806547,18.1818181818182,9154859,S35,Fam06,P,C,M,9.2,7,64.8,Control,control,0,43,48,931,11.613,0.32883,0.42816,3.9,1,29.6,7,206,0,918395,119.5,92.61,0.6135
S36,G04908-L1_S36_L002_R1_001,19600804,76.152,75.7%,34%,9.1,74.9662730632,34,94.2932305972883,27.2727272727273,8884905,S36,Fam06,P,T,M,9,8,59,Exposed,infected,5,45,50,1028,11.503,0.76574,1.26007,1.5,0.6,33,7.4,197,5,2175423,240,97.61,0.5713
S37,G04909-L1_S37_L003_R1_001,16894794,86.243,71.8%,32%,7.8,71.471834065738,31,95.7249659081106,18.1818181818182,7778243,S37,Fam11,O,TC,M,7.8,V48_071,68.2,E_control,control,0,42,48,852,67.6,0.60187,0.19484,2.5,1,32.1,3,3.7,0,4534874.8,720,55.11,0.38
S38,G04910-L1_S38_L003_R1_001,28370990,85.886,73.8%,32%,11.9,73.4427364077469,31,95.8719331559285,18.1818181818182,11813284,S38,Fam11,O,TC,F,11.8,V48_360,69.6,E_control,control,0,44,50,978,100.894,0.57146,-0.01056,3.5,0.5,36.3,15.6,4.2,0,1289473.3,184,35.11,1.28
S39,G04911-L1_S39_L003_R1_001,23611519,83.966,71.2%,32%,11.6,70.746579214755,31,95.1867695420585,18.1818181818182,11533176,S39,Fam11,O,TC,M,11.6,V48_385,66.2,E_control,control,0,42,47,801,16.6,1.4237,1.08751,3.8,0.9,23.7,0.5,4.9000000000000004,0,251874.5,32,50.11,0.37
S4,G04876-L1_S4_L001_R1_001,26907281,85.367,71.8%,33%,11.5,71.4099537542872,32,95.2875380702329,18.1818181818182,11455144,S4,Fam06,O,TC,M,11.5,V48_227,67.7,E_control,control,0,39,45,837,191.659,-2.15642,-2.54261,3.5,1.4,30.9,5.6,5,0,1636361.1,240,60.11,0.96
S40,G04912-L1_S40_L003_R1_001,23188281,87.153,70.9%,33%,10.6,70.41555260206,32,95.1507412658341,18.1818181818182,10486319,S40,Fam11,O,TC,M,10.5,V48_386,70.6,E_control,control,0,40,45,692,0.306,1.18017,0.99536,2.8,0.6,12.9,8.1999999999999993,2.5,0,1433789.8,215,65.11,0.39
S41,G04913-L1_S41_L003_R1_001,17352681,83.813,73.7%,36%,6.8,72.8248386096505,35,92.2628028250641,27.2727272727273,6701724,S41,Fam11,O,TT,M,6.7,V48_070,66.8,E_exposed,infected,1,40,47,697,5.306,1.0996,0.90784,2.6,0.5,16,0.9,2.5,1,580396,84,75.11,0.78
