SampleID,Sample_Name,NbrMethylatedCpG,MappingEfficiency%BSBoldvsGynogen,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio
S18,G04890-L1_S18_L001_R1_001,21256755,81.22,74.3%,34%,10.1,72.6586402671622,33,94.607725432694,18.1818181818182,9497358,Fam6,E_04,S36,V48_089,2.7,0,573,38,S18,Fam06,O,TC,M,9.8,62.9,E_control,control,43,-25.988,1.09778,1.07824,0.5,15.6,0.6,1.8,800082.5,158,40.11,0.5
S19,G04891-L1_S19_L002_R1_001,27692025,85.516,73.7%,33%,11.4,73.1534893548503,32,95.4602665853386,18.1818181818182,11305648,Fam6,E_04,S36,V48_090,3,0,702,41,S19,Fam06,O,TC,F,11.4,69.8,E_control,control,46,-36.047,2.01902,1.82032,0.6,25.3,10.9,2.6,2012259.2,295,75.11,0.68
S2,G04874-L1_S2_L001_R1_001,24958797,83.446,74.4%,34%,10.1,73.8700907718617,33,95.1677484548061,18.1818181818182,10007967,Fam6,E_30,S17,V48_032,4.3,0,595,38,S2,Fam06,O,TC,F,10,66.2,E_control,control,43,-3.988,0.74326,0.69317,0.4,20,10.7,0.7,1152749,226,60.11,1.31
S20,G04892-L1_S20_L002_R1_001,28279565,82.306,75.8%,33%,12.6,75.4008179833028,33,95.5132936458595,18.1818181818182,12465730,Fam6,E_04,S36,V48_122,2.3,0,680,40,S20,Fam06,O,TC,F,12.5,65.3,E_control,control,46,-11.694,1.37354,1.2054,0.6,19.8,27.6,19.8,1011690.6,174,100.11,0.67
S21,G04893-L1_S21_L002_R1_001,22564944,78.427,75.8%,34%,11.2,75.0682539220511,33,93.0485178312858,27.2727272727273,11091180,Fam6,E_04,S36,V48_380,2.6,0,689,40,S21,Fam06,O,TC,M,11.1,61.5,E_control,control,45,-2.694,1.22851,1.04787,0.5,14.3,1.2,3.4,901561.7,157,90.11,0.45
S23,G04895-L1_S23_L002_R1_001,23800684,79.029,77.5%,32%,11.3,77.2128111261007,32,95.1941482940664,18.1818181818182,11262015,Fam6,E_04,S36,V48_057,3.6,5,706,40,S23,Fam06,O,TT,M,11.3,61.2,E_exposed,infected,46,14.306,0.95457,0.75031,0.7,21.9,4.2,3.5,1025671.6,177,85.11,2.49
S24,G04896-L1_S24_L002_R1_001,47930710,85.876,78.3%,33%,20.1,77.7642703197967,32,95.3477697798968,18.1818181818182,19853870,Fam6,E_04,S36,V48_152,2.8,1,660,41,S24,Fam06,O,TT,F,20,70.3,E_exposed,infected,47,-78.047,2.69583,2.55546,0.5,18.5,12.4,3.6,703565.1,110,80.11,0.97
S25,G04897-L1_S25_L002_R1_001,28395681,81.838,77.8%,35%,11.8,77.2277427860897,34,94.5887124064234,27.2727272727273,11690428,Fam6,E_04,S36,V48_256,2.6,2,832,41,S25,Fam06,O,TT,M,11.7,65.8,E_exposed,infected,47,93.953,-0.07584,-0.45509,0.9,16.6,7.7,13.9,885283.9,144,80.11,0.75
S26,G04898-L1_S26_L002_R1_001,24075767,80.605,73.1%,33%,11.2,72.6111654820253,32,95.4427808192072,18.1818181818182,11037208,Fam6,E_04,S36,V48_363,4.4,9,592,38,S26,Fam06,O,TT,M,11.1,63.2,E_exposed,infected,42,-6.988,0.79161,0.74568,0.4,12.9,4,3.8,1661786.1,287,90.11,0.92
S27,G04899-L1_S27_L002_R1_001,27575770,85.889,76.4%,32%,11.4,76.0863705825337,32,95.8615123111664,18.1818181818182,11376217,Fam6,NE_04,S35,V48_021,4.6,0,824,41,S27,Fam06,O,CC,M,11.4,68.4,NE_control,control,46,85.953,0.05307,-0.31507,0.9,27,4.7,12.8,1661739,329,55.11,3.61
S28,G04900-L1_S28_L002_R1_001,33469928,88.975,77.8%,32%,12.8,77.5652557429955,32,96.3483083607703,18.1818181818182,12768680,Fam6,NE_04,S35,V48_082,3.5,0,526,36,S28,Fam06,O,CC,F,12.8,72.3,NE_control,control,42,19.718,-0.14484,-0.09911,0.8,18.6,6.5,1.2,4107881.3,717,85.11,0.94
